,1 2,1 3,1 4,1 5,2 3,2 4,2 5,3 4,3 5,4 5
32,0.53,0.18,0.07,0.38,0.36,0.45,0.65,0.12,0.35,0.39
33,0.53,0.18,0.07,0.39,0.37,0.46,0.66,0.12,0.36,0.4
34,0.55,0.2,0.08,0.39,0.37,0.47,0.68,0.13,0.38,0.41
35,0.55,0.21,0.08,0.39,0.37,0.47,0.69,0.13,0.38,0.41
36,0.57,0.22,0.08,0.39,0.37,0.49,0.7,0.14,0.39,0.4
37,0.58,0.24,0.09,0.4,0.37,0.49,0.7,0.14,0.39,0.38
38,0.59,0.26,0.1,0.41,0.36,0.5,0.71,0.16,0.38,0.37
39,0.59,0.26,0.1,0.4,0.36,0.5,0.7,0.17,0.37,0.37
40,0.59,0.27,0.1,0.41,0.36,0.51,0.7,0.17,0.37,0.36
41,0.59,0.28,0.1,0.41,0.37,0.51,0.7,0.18,0.36,0.36
42,0.62,0.29,0.12,0.41,0.37,0.53,0.72,0.18,0.37,0.34
43,0.62,0.31,0.13,0.42,0.39,0.54,0.72,0.18,0.35,0.33
44,0.62,0.32,0.15,0.43,0.39,0.53,0.72,0.18,0.35,0.32
45,0.62,0.33,0.15,0.44,0.39,0.53,0.73,0.19,0.35,0.33
46,0.62,0.33,0.16,0.44,0.39,0.53,0.72,0.19,0.34,0.32
47,0.62,0.34,0.16,0.44,0.38,0.54,0.71,0.2,0.34,0.31
48,0.59,0.31,0.14,0.43,0.38,0.54,0.7,0.2,0.34,0.31
49,0.59,0.32,0.15,0.45,0.37,0.54,0.69,0.2,0.34,0.31
50,0.58,0.33,0.17,0.47,0.35,0.52,0.68,0.2,0.34,0.31
51,0.58,0.33,0.18,0.47,0.35,0.52,0.68,0.2,0.34,0.31
52,0.58,0.34,0.19,0.48,0.36,0.52,0.68,0.19,0.34,0.31
53,0.58,0.32,0.2,0.5,0.37,0.51,0.68,0.16,0.33,0.32
54,0.57,0.32,0.21,0.51,0.37,0.5,0.67,0.15,0.33,0.31
55,0.56,0.3,0.21,0.51,0.36,0.48,0.66,0.13,0.34,0.32
56,0.56,0.3,0.22,0.52,0.37,0.48,0.66,0.12,0.33,0.32
57,0.56,0.3,0.24,0.53,0.36,0.47,0.64,0.11,0.33,0.3
58,0.54,0.28,0.24,0.53,0.34,0.46,0.63,0.11,0.35,0.3
59,0.55,0.29,0.25,0.54,0.35,0.46,0.63,0.11,0.35,0.31
60,0.54,0.29,0.25,0.56,0.35,0.45,0.63,0.1,0.36,0.32
61,0.54,0.29,0.25,0.56,0.35,0.45,0.62,0.1,0.36,0.32
62,0.55,0.28,0.25,0.55,0.36,0.45,0.61,0.09,0.35,0.32
63,0.55,0.27,0.25,0.54,0.36,0.45,0.61,0.08,0.35,0.31
64,0.57,0.23,0.23,0.51,0.39,0.45,0.6,0.07,0.35,0.3
65,0.58,0.21,0.22,0.49,0.41,0.46,0.59,0.06,0.34,0.29
66,0.58,0.21,0.23,0.49,0.43,0.47,0.6,0.06,0.34,0.28
67,0.59,0.2,0.22,0.48,0.44,0.49,0.6,0.07,0.33,0.27
68,0.59,0.21,0.22,0.48,0.44,0.49,0.59,0.06,0.31,0.27
69,0.6,0.22,0.22,0.48,0.43,0.49,0.58,0.06,0.3,0.27
70,0.59,0.22,0.22,0.47,0.44,0.49,0.57,0.06,0.3,0.26
71,0.58,0.21,0.21,0.47,0.44,0.51,0.58,0.08,0.3,0.26
72,0.58,0.21,0.21,0.47,0.44,0.52,0.57,0.09,0.29,0.26
73,0.58,0.23,0.22,0.47,0.44,0.54,0.57,0.11,0.28,0.25
74,0.59,0.24,0.22,0.49,0.43,0.55,0.57,0.12,0.28,0.27
75,0.59,0.24,0.21,0.52,0.44,0.57,0.57,0.13,0.3,0.32
76,0.59,0.24,0.2,0.52,0.44,0.58,0.57,0.14,0.31,0.33
77,0.58,0.22,0.19,0.52,0.44,0.58,0.57,0.14,0.31,0.34
78,0.58,0.22,0.19,0.52,0.44,0.58,0.57,0.14,0.32,0.35
79,0.57,0.21,0.18,0.51,0.44,0.58,0.57,0.14,0.32,0.35
80,0.56,0.19,0.16,0.5,0.43,0.6,0.57,0.17,0.33,0.37
81,0.57,0.19,0.16,0.5,0.43,0.63,0.57,0.19,0.34,0.39
82,0.57,0.18,0.14,0.48,0.43,0.63,0.56,0.2,0.35,0.39
83,0.58,0.19,0.13,0.48,0.42,0.63,0.57,0.21,0.35,0.4
84,0.58,0.19,0.12,0.49,0.42,0.63,0.58,0.21,0.36,0.41
85,0.59,0.2,0.11,0.49,0.41,0.63,0.58,0.21,0.36,0.42
86,0.59,0.21,0.09,0.49,0.4,0.62,0.58,0.22,0.37,0.42
87,0.58,0.21,0.08,0.5,0.39,0.62,0.59,0.23,0.39,0.45
88,0.57,0.21,0.09,0.5,0.38,0.62,0.59,0.25,0.4,0.46
89,0.55,0.21,0.09,0.49,0.35,0.62,0.6,0.27,0.41,0.47
90,0.54,0.2,0.09,0.5,0.34,0.62,0.62,0.27,0.43,0.48
91,0.53,0.21,0.09,0.5,0.33,0.62,0.63,0.29,0.44,0.49
92,0.53,0.21,0.09,0.47,0.33,0.62,0.64,0.3,0.45,0.49
93,0.51,0.21,0.1,0.46,0.31,0.61,0.64,0.31,0.45,0.49
94,0.51,0.2,0.11,0.43,0.31,0.61,0.67,0.31,0.45,0.48
95,0.51,0.21,0.13,0.42,0.3,0.62,0.68,0.33,0.45,0.49
96,0.51,0.21,0.14,0.4,0.3,0.62,0.68,0.33,0.45,0.49
97,0.51,0.21,0.16,0.4,0.3,0.65,0.68,0.37,0.44,0.5
98,0.52,0.23,0.16,0.39,0.3,0.65,0.69,0.38,0.43,0.49
99,0.52,0.24,0.16,0.38,0.29,0.65,0.68,0.39,0.43,0.49
100,0.53,0.27,0.14,0.38,0.28,0.64,0.68,0.4,0.42,0.49
101,0.53,0.27,0.14,0.37,0.27,0.63,0.68,0.4,0.43,0.48
102,0.52,0.28,0.13,0.38,0.28,0.63,0.68,0.4,0.42,0.47
103,0.51,0.29,0.13,0.38,0.26,0.6,0.65,0.4,0.4,0.48
104,0.51,0.3,0.14,0.38,0.27,0.6,0.65,0.42,0.38,0.49
105,0.5,0.3,0.14,0.39,0.29,0.6,0.66,0.43,0.37,0.5
106,0.51,0.31,0.13,0.39,0.3,0.6,0.67,0.43,0.36,0.49
107,0.51,0.31,0.11,0.39,0.32,0.58,0.66,0.42,0.34,0.48
108,0.52,0.35,0.09,0.41,0.34,0.59,0.66,0.44,0.33,0.48
109,0.53,0.36,0.08,0.4,0.34,0.57,0.66,0.44,0.33,0.47
110,0.52,0.36,0.09,0.4,0.35,0.58,0.67,0.44,0.33,0.47
111,0.53,0.37,0.08,0.41,0.34,0.59,0.67,0.45,0.33,0.47
112,0.53,0.38,0.08,0.43,0.34,0.59,0.67,0.45,0.33,0.49
113,0.55,0.39,0.06,0.44,0.36,0.59,0.68,0.45,0.33,0.49
114,0.55,0.42,0.04,0.44,0.38,0.56,0.69,0.46,0.32,0.49
115,0.56,0.44,0.03,0.46,0.38,0.57,0.69,0.46,0.31,0.49
116,0.56,0.44,0.05,0.46,0.38,0.59,0.69,0.48,0.32,0.5
117,0.56,0.45,0.05,0.47,0.39,0.6,0.69,0.49,0.32,0.51
118,0.58,0.47,0.01,0.45,0.4,0.59,0.68,0.48,0.3,0.47
119,0.59,0.48,0.02,0.46,0.41,0.6,0.7,0.5,0.32,0.48
120,0.61,0.5,0.02,0.47,0.41,0.6,0.71,0.51,0.33,0.49
121,0.63,0.52,0.03,0.5,0.41,0.6,0.73,0.52,0.34,0.52
122,0.63,0.53,0.04,0.47,0.41,0.6,0.72,0.53,0.35,0.49
123,0.63,0.55,0.05,0.49,0.42,0.59,0.74,0.54,0.36,0.51
124,0.64,0.55,0.06,0.47,0.43,0.59,0.74,0.54,0.36,0.51
125,0.63,0.53,0.08,0.47,0.43,0.59,0.75,0.55,0.36,0.54
126,0.66,0.54,0.08,0.46,0.45,0.61,0.76,0.56,0.36,0.53
127,0.66,0.56,0.09,0.49,0.45,0.61,0.76,0.57,0.36,0.55
128,0.68,0.57,0.1,0.49,0.47,0.61,0.78,0.58,0.37,0.56
129,0.68,0.58,0.11,0.47,0.48,0.61,0.77,0.59,0.36,0.55
130,0.68,0.58,0.12,0.48,0.48,0.6,0.78,0.59,0.36,0.56
131,0.7,0.59,0.14,0.48,0.5,0.61,0.79,0.61,0.36,0.57
132,0.71,0.6,0.13,0.49,0.51,0.62,0.81,0.61,0.37,0.58
133,0.71,0.59,0.15,0.47,0.52,0.62,0.82,0.62,0.37,0.58
134,0.72,0.61,0.15,0.49,0.52,0.62,0.82,0.62,0.37,0.59
135,0.74,0.61,0.15,0.49,0.54,0.63,0.85,0.62,0.38,0.58
136,0.73,0.62,0.15,0.49,0.54,0.61,0.84,0.62,0.39,0.58
137,0.74,0.64,0.16,0.5,0.55,0.61,0.86,0.62,0.4,0.59
138,0.75,0.64,0.16,0.51,0.58,0.61,0.88,0.62,0.4,0.6
139,0.74,0.65,0.17,0.53,0.59,0.59,0.89,0.62,0.4,0.61
140,0.73,0.67,0.16,0.54,0.6,0.58,0.89,0.63,0.41,0.61
141,0.71,0.68,0.17,0.55,0.6,0.56,0.89,0.64,0.41,0.62
142,0.71,0.69,0.17,0.54,0.62,0.55,0.89,0.65,0.42,0.61
143,0.7,0.7,0.19,0.56,0.62,0.52,0.88,0.66,0.4,0.64
144,0.7,0.71,0.19,0.56,0.63,0.52,0.88,0.67,0.4,0.64
145,0.7,0.72,0.21,0.58,0.62,0.5,0.88,0.68,0.41,0.66
146,0.7,0.71,0.22,0.57,0.62,0.5,0.87,0.68,0.4,0.67
147,0.69,0.71,0.22,0.58,0.63,0.5,0.87,0.69,0.39,0.67
148,0.69,0.73,0.22,0.58,0.64,0.48,0.87,0.69,0.38,0.67
149,0.69,0.73,0.23,0.58,0.64,0.48,0.85,0.7,0.36,0.67
150,0.69,0.72,0.23,0.57,0.66,0.48,0.86,0.71,0.36,0.68
151,0.69,0.72,0.23,0.57,0.67,0.49,0.87,0.72,0.36,0.69
152,0.67,0.72,0.23,0.57,0.67,0.49,0.87,0.75,0.37,0.71
153,0.68,0.74,0.24,0.58,0.67,0.49,0.86,0.77,0.37,0.72
154,0.69,0.77,0.24,0.6,0.68,0.49,0.87,0.78,0.38,0.73
155,0.68,0.78,0.24,0.61,0.69,0.48,0.86,0.78,0.37,0.73
156,0.69,0.78,0.25,0.62,0.72,0.47,0.89,0.78,0.36,0.74
157,0.69,0.8,0.26,0.62,0.75,0.45,0.9,0.79,0.36,0.73
158,0.69,0.8,0.25,0.66,0.77,0.45,0.92,0.79,0.34,0.75
159,0.67,0.8,0.25,0.67,0.78,0.44,0.93,0.79,0.34,0.76
160,0.66,0.8,0.25,0.68,0.79,0.41,0.94,0.78,0.34,0.77
161,0.65,0.8,0.27,0.7,0.79,0.39,0.96,0.78,0.35,0.79
162,0.64,0.8,0.27,0.71,0.8,0.38,0.97,0.78,0.35,0.8
163,0.61,0.81,0.25,0.72,0.81,0.37,0.99,0.79,0.36,0.81
164,0.6,0.81,0.25,0.71,0.81,0.36,0.98,0.78,0.37,0.8
165,0.59,0.81,0.25,0.7,0.81,0.34,0.96,0.77,0.37,0.78
166,0.57,0.82,0.24,0.71,0.8,0.33,0.96,0.77,0.39,0.79
167,0.57,0.82,0.26,0.71,0.8,0.31,0.96,0.77,0.39,0.79
168,0.55,0.82,0.25,0.72,0.8,0.3,0.97,0.77,0.4,0.8
169,0.52,0.81,0.26,0.71,0.8,0.27,0.95,0.77,0.4,0.8
170,0.51,0.81,0.25,0.72,0.8,0.26,0.96,0.77,0.4,0.81
171,0.5,0.8,0.26,0.71,0.81,0.24,0.96,0.77,0.4,0.81
172,0.49,0.78,0.26,0.72,0.79,0.23,0.96,0.74,0.4,0.81
173,0.49,0.77,0.26,0.72,0.79,0.23,0.97,0.73,0.4,0.82
174,0.47,0.74,0.24,0.69,0.8,0.23,0.96,0.71,0.4,0.79
175,0.46,0.68,0.23,0.65,0.79,0.23,0.96,0.69,0.4,0.78
176,0.46,0.68,0.22,0.65,0.79,0.24,0.96,0.68,0.39,0.77
177,0.45,0.66,0.21,0.65,0.79,0.25,0.97,0.67,0.38,0.77
178,0.43,0.66,0.19,0.67,0.79,0.25,0.97,0.67,0.38,0.77
179,0.43,0.65,0.17,0.67,0.8,0.27,0.98,0.67,0.38,0.77
180,0.43,0.65,0.17,0.65,0.79,0.27,0.97,0.67,0.38,0.75
181,0.41,0.63,0.15,0.65,0.79,0.26,0.96,0.67,0.37,0.76
182,0.41,0.63,0.14,0.66,0.79,0.26,0.96,0.67,0.36,0.76
183,0.41,0.63,0.12,0.62,0.78,0.29,0.94,0.65,0.38,0.7
184,0.41,0.63,0.12,0.63,0.78,0.3,0.95,0.63,0.37,0.7
185,0.41,0.62,0.12,0.63,0.78,0.3,0.95,0.62,0.36,0.7
186,0.4,0.61,0.12,0.66,0.77,0.29,0.95,0.61,0.33,0.71
187,0.39,0.61,0.11,0.67,0.75,0.28,0.95,0.61,0.33,0.72
188,0.39,0.61,0.11,0.68,0.75,0.29,0.95,0.6,0.33,0.72
189,0.4,0.61,0.1,0.69,0.74,0.3,0.96,0.6,0.33,0.72
190,0.39,0.6,0.1,0.69,0.71,0.3,0.95,0.58,0.34,0.72
191,0.39,0.59,0.11,0.68,0.7,0.3,0.93,0.54,0.33,0.69
192,0.38,0.58,0.1,0.69,0.69,0.3,0.93,0.53,0.33,0.69
193,0.35,0.57,0.08,0.71,0.67,0.3,0.93,0.51,0.35,0.68
194,0.34,0.54,0.08,0.72,0.63,0.3,0.93,0.47,0.37,0.69
195,0.33,0.53,0.09,0.71,0.62,0.31,0.93,0.45,0.38,0.66
196,0.32,0.52,0.07,0.71,0.62,0.31,0.93,0.45,0.38,0.66
197,0.3,0.49,0.06,0.7,0.61,0.3,0.91,0.44,0.38,0.66
198,0.3,0.47,0.05,0.67,0.6,0.29,0.89,0.43,0.36,0.64
199,0.27,0.46,0.05,0.66,0.58,0.26,0.87,0.42,0.37,0.64
200,0.25,0.45,0.05,0.65,0.54,0.23,0.84,0.42,0.37,0.64
201,0.27,0.44,0.07,0.64,0.53,0.21,0.84,0.41,0.39,0.65
202,0.27,0.43,0.09,0.64,0.51,0.19,0.83,0.4,0.4,0.67
203,0.27,0.41,0.1,0.62,0.49,0.18,0.82,0.39,0.4,0.66
204,0.26,0.41,0.11,0.63,0.48,0.16,0.81,0.39,0.41,0.67
205,0.26,0.41,0.11,0.63,0.46,0.16,0.81,0.38,0.42,0.67
206,0.26,0.42,0.12,0.63,0.45,0.15,0.79,0.37,0.4,0.66
207,0.25,0.42,0.12,0.64,0.41,0.13,0.76,0.36,0.42,0.66
208,0.24,0.42,0.12,0.64,0.4,0.12,0.76,0.36,0.43,0.67
209,0.24,0.44,0.14,0.65,0.4,0.11,0.75,0.37,0.44,0.67
210,0.23,0.45,0.14,0.65,0.4,0.1,0.75,0.37,0.45,0.68
211,0.22,0.46,0.15,0.66,0.41,0.08,0.75,0.38,0.45,0.69
212,0.21,0.46,0.16,0.66,0.41,0.07,0.75,0.38,0.45,0.69
213,0.19,0.46,0.18,0.65,0.42,0.04,0.74,0.39,0.46,0.7
214,0.18,0.48,0.17,0.65,0.44,0.04,0.74,0.4,0.47,0.7
215,0.17,0.49,0.18,0.66,0.44,0.04,0.74,0.4,0.48,0.71
216,0.17,0.49,0.19,0.66,0.44,0.04,0.73,0.41,0.48,0.72
217,0.13,0.48,0.18,0.67,0.43,0.06,0.72,0.39,0.49,0.72
218,0.13,0.47,0.18,0.66,0.42,0.06,0.7,0.38,0.5,0.71
219,0.12,0.48,0.17,0.67,0.41,0.05,0.7,0.39,0.51,0.72
220,0.12,0.48,0.17,0.67,0.39,0.05,0.68,0.38,0.51,0.71
221,0.12,0.49,0.16,0.69,0.39,0.05,0.67,0.4,0.51,0.71
222,0.12,0.49,0.15,0.67,0.38,0.05,0.65,0.39,0.5,0.7
223,0.12,0.49,0.15,0.67,0.38,0.05,0.65,0.4,0.51,0.7
224,0.13,0.48,0.13,0.68,0.36,0.06,0.63,0.39,0.52,0.7
225,0.13,0.48,0.12,0.68,0.35,0.07,0.63,0.4,0.55,0.7
226,0.13,0.49,0.12,0.66,0.36,0.07,0.6,0.4,0.54,0.67
227,0.13,0.49,0.11,0.65,0.35,0.06,0.58,0.4,0.53,0.64
228,0.13,0.49,0.1,0.64,0.36,0.07,0.56,0.4,0.52,0.62
229,0.12,0.49,0.11,0.63,0.37,0.06,0.55,0.4,0.51,0.61
230,0.13,0.51,0.11,0.64,0.39,0.06,0.54,0.41,0.5,0.6
231,0.13,0.53,0.11,0.64,0.41,0.06,0.54,0.41,0.5,0.6
232,0.14,0.55,0.13,0.65,0.42,0.06,0.54,0.42,0.5,0.59
233,0.14,0.56,0.13,0.65,0.42,0.06,0.54,0.43,0.5,0.59
234,0.15,0.56,0.13,0.65,0.43,0.06,0.52,0.43,0.48,0.57
235,0.16,0.58,0.14,0.66,0.44,0.07,0.51,0.44,0.48,0.56
236,0.18,0.61,0.18,0.68,0.46,0.07,0.51,0.43,0.48,0.55
237,0.18,0.63,0.18,0.69,0.48,0.07,0.51,0.45,0.47,0.54
238,0.18,0.65,0.19,0.69,0.5,0.08,0.51,0.46,0.47,0.55
239,0.18,0.66,0.19,0.69,0.52,0.08,0.51,0.48,0.48,0.54
240,0.19,0.68,0.22,0.7,0.53,0.08,0.51,0.46,0.46,0.51
241,0.19,0.69,0.23,0.71,0.54,0.09,0.52,0.46,0.45,0.51
242,0.19,0.69,0.24,0.72,0.55,0.08,0.53,0.47,0.44,0.5
243,0.18,0.7,0.24,0.72,0.55,0.07,0.55,0.48,0.43,0.5
244,0.17,0.71,0.24,0.74,0.57,0.09,0.57,0.49,0.41,0.51
245,0.17,0.71,0.24,0.74,0.58,0.08,0.57,0.5,0.4,0.51
246,0.18,0.72,0.22,0.75,0.58,0.05,0.57,0.53,0.4,0.54
247,0.18,0.73,0.21,0.76,0.58,0.04,0.57,0.55,0.4,0.54
248,0.19,0.74,0.21,0.77,0.59,0.03,0.58,0.57,0.39,0.56
249,0.18,0.75,0.21,0.78,0.61,0.04,0.6,0.57,0.38,0.56
250,0.13,0.7,0.17,0.74,0.62,0.05,0.62,0.57,0.38,0.57
251,0.13,0.72,0.16,0.76,0.64,0.04,0.64,0.6,0.37,0.6
252,0.13,0.73,0.16,0.76,0.64,0.03,0.64,0.61,0.38,0.61
253,0.13,0.74,0.16,0.77,0.65,0.03,0.65,0.63,0.38,0.62
254,0.14,0.75,0.17,0.8,0.66,0.03,0.66,0.64,0.38,0.63
255,0.14,0.77,0.18,0.81,0.67,0.05,0.67,0.68,0.39,0.66
256,0.13,0.77,0.18,0.81,0.68,0.07,0.68,0.7,0.39,0.66
257,0.13,0.78,0.19,0.83,0.69,0.07,0.71,0.7,0.39,0.68
258,0.14,0.78,0.2,0.84,0.7,0.07,0.72,0.7,0.37,0.68
259,0.13,0.76,0.2,0.84,0.7,0.07,0.73,0.7,0.37,0.69
260,0.14,0.78,0.21,0.85,0.71,0.07,0.74,0.7,0.37,0.69
261,0.15,0.8,0.22,0.87,0.72,0.07,0.75,0.71,0.37,0.7
262,0.15,0.82,0.22,0.88,0.75,0.07,0.75,0.73,0.38,0.7
263,0.15,0.85,0.24,0.89,0.77,0.09,0.76,0.75,0.36,0.7
264,0.16,0.86,0.23,0.9,0.78,0.07,0.77,0.75,0.37,0.71
265,0.15,0.87,0.22,0.9,0.79,0.07,0.77,0.76,0.37,0.71
266,0.17,0.86,0.25,0.89,0.8,0.08,0.77,0.76,0.39,0.7
267,0.17,0.87,0.26,0.91,0.8,0.09,0.78,0.77,0.4,0.7
268,0.17,0.87,0.26,0.92,0.8,0.09,0.78,0.76,0.41,0.71
269,0.17,0.87,0.28,0.94,0.81,0.1,0.8,0.76,0.4,0.72
270,0.17,0.87,0.27,0.94,0.81,0.1,0.81,0.76,0.41,0.72
271,0.18,0.87,0.29,0.94,0.81,0.11,0.81,0.76,0.41,0.71
272,0.19,0.87,0.3,0.94,0.82,0.12,0.82,0.75,0.4,0.71
273,0.19,0.85,0.31,0.95,0.81,0.12,0.83,0.74,0.38,0.71
274,0.2,0.86,0.32,0.95,0.81,0.13,0.83,0.74,0.38,0.71
275,0.2,0.82,0.32,0.94,0.79,0.14,0.83,0.71,0.37,0.71
276,0.21,0.8,0.32,0.93,0.8,0.14,0.84,0.72,0.37,0.71
277,0.21,0.8,0.33,0.93,0.81,0.15,0.86,0.72,0.35,0.72
278,0.22,0.83,0.35,0.96,0.81,0.15,0.86,0.73,0.35,0.73
279,0.23,0.79,0.35,0.97,0.79,0.16,0.88,0.69,0.33,0.74
280,0.23,0.79,0.35,0.97,0.79,0.16,0.89,0.7,0.34,0.75
281,0.23,0.77,0.35,0.97,0.78,0.16,0.89,0.69,0.35,0.76
282,0.23,0.76,0.36,0.97,0.78,0.15,0.9,0.71,0.34,0.78
283,0.22,0.75,0.35,0.96,0.77,0.15,0.9,0.71,0.35,0.79
284,0.21,0.71,0.35,0.95,0.74,0.16,0.91,0.69,0.36,0.8
285,0.21,0.69,0.36,0.94,0.73,0.17,0.91,0.7,0.36,0.81
286,0.2,0.7,0.36,0.94,0.73,0.18,0.91,0.7,0.35,0.81
287,0.17,0.7,0.35,0.93,0.74,0.2,0.91,0.72,0.33,0.82
288,0.17,0.69,0.36,0.92,0.73,0.2,0.91,0.71,0.31,0.83
289,0.17,0.67,0.36,0.92,0.72,0.21,0.92,0.69,0.32,0.83
290,0.14,0.66,0.34,0.91,0.69,0.21,0.9,0.69,0.31,0.83
291,0.13,0.65,0.33,0.9,0.7,0.22,0.92,0.69,0.31,0.83
292,0.13,0.63,0.32,0.89,0.67,0.2,0.9,0.67,0.32,0.84
293,0.13,0.63,0.32,0.9,0.67,0.21,0.91,0.67,0.31,0.85
294,0.12,0.61,0.31,0.89,0.67,0.21,0.92,0.67,0.31,0.86
295,0.12,0.6,0.3,0.87,0.65,0.19,0.89,0.68,0.31,0.87
296,0.12,0.6,0.3,0.87,0.66,0.2,0.91,0.69,0.3,0.88
297,0.1,0.59,0.28,0.86,0.65,0.2,0.91,0.69,0.3,0.9
298,0.09,0.57,0.27,0.84,0.64,0.2,0.9,0.69,0.3,0.9
299,0.09,0.55,0.25,0.83,0.64,0.2,0.9,0.69,0.31,0.91
300,0.1,0.53,0.25,0.82,0.62,0.2,0.91,0.68,0.32,0.92
301,0.11,0.51,0.26,0.81,0.62,0.2,0.91,0.68,0.32,0.92
302,0.12,0.5,0.26,0.81,0.62,0.2,0.92,0.67,0.32,0.94
303,0.13,0.49,0.26,0.82,0.61,0.21,0.94,0.65,0.33,0.94
304,0.09,0.49,0.26,0.82,0.58,0.21,0.91,0.65,0.33,0.96
305,0.12,0.49,0.26,0.85,0.6,0.2,0.96,0.65,0.37,0.98
306,0.13,0.49,0.26,0.85,0.61,0.19,0.97,0.65,0.37,0.98
307,0.14,0.48,0.26,0.84,0.61,0.19,0.97,0.65,0.36,0.98
308,0.15,0.48,0.27,0.84,0.62,0.18,0.97,0.64,0.36,0.97
309,0.15,0.48,0.27,0.84,0.61,0.18,0.97,0.64,0.36,0.98
310,0.15,0.47,0.28,0.83,0.61,0.17,0.96,0.64,0.36,0.98
311,0.16,0.47,0.27,0.82,0.6,0.16,0.95,0.64,0.35,0.96
312,0.15,0.46,0.26,0.82,0.59,0.15,0.95,0.62,0.36,0.96
313,0.16,0.44,0.27,0.81,0.58,0.15,0.95,0.61,0.37,0.97
314,0.16,0.44,0.26,0.81,0.58,0.15,0.95,0.6,0.37,0.96
315,0.17,0.41,0.26,0.8,0.57,0.14,0.95,0.58,0.39,0.95
316,0.16,0.41,0.25,0.8,0.54,0.12,0.93,0.57,0.4,0.95
317,0.16,0.39,0.25,0.8,0.53,0.12,0.93,0.56,0.4,0.94
318,0.18,0.37,0.25,0.78,0.53,0.11,0.93,0.56,0.4,0.95
319,0.18,0.36,0.26,0.76,0.52,0.11,0.92,0.56,0.4,0.95
320,0.19,0.35,0.27,0.76,0.52,0.1,0.92,0.55,0.41,0.95
321,0.19,0.33,0.28,0.75,0.49,0.11,0.9,0.55,0.41,0.95
322,0.19,0.32,0.29,0.73,0.48,0.11,0.89,0.55,0.42,0.96
323,0.2,0.29,0.31,0.72,0.46,0.11,0.89,0.55,0.43,0.97
324,0.2,0.28,0.31,0.72,0.46,0.12,0.88,0.55,0.43,0.97
325,0.21,0.27,0.31,0.7,0.45,0.1,0.87,0.53,0.43,0.94
326,0.23,0.24,0.34,0.67,0.43,0.11,0.86,0.53,0.43,0.96
327,0.22,0.23,0.35,0.66,0.41,0.13,0.84,0.54,0.43,0.96
328,0.21,0.21,0.34,0.65,0.38,0.13,0.83,0.5,0.45,0.95
329,0.21,0.2,0.36,0.64,0.36,0.15,0.81,0.5,0.45,0.95
330,0.2,0.17,0.38,0.61,0.32,0.18,0.79,0.49,0.46,0.95
